symbol,ZSTAT,P
ATP5F1,1.9317,0.026698
FAM169A,1.9302,0.026791
ARL3,1.9272,0.026977
MAP1A,1.9263,0.027033
NEU2,1.9261,0.027047
DNAJB1,1.926,0.02705
GIMAP8,1.9246,0.027139
TLL1,1.9244,0.027151
ATF7,1.9236,0.027201
VAMP2,1.9212,0.027355
HMG20B,1.9205,0.027397
COQ6,1.9201,0.027424
KANK3,1.9196,0.027456
POLR3H,1.9189,0.0275
TRANK1,1.9185,0.027526
AMER2,1.9159,0.027691
POTEA,1.9152,0.027735
A4GALT,1.915,0.027743
PAPD4,1.9147,0.027765
HERC6,1.9142,0.0278
TMEM150C,1.9129,0.027879
ERCC3,1.9123,0.027917
TFF3,1.9123,0.027921
HARBI1,1.9093,0.02811
CNBD2,1.9082,0.028183
USP8,1.9063,0.028303
DUSP2,1.9058,0.028341
OR8A1,1.9049,0.028395
UBAP2,1.9039,0.028464
BCL2L11,1.9034,0.028496
KCNB2,1.9025,0.028551
DRG1,1.9011,0.028645
AQP7,1.9009,0.028658
OR8B12,1.8997,0.028735
F11,1.8993,0.028762
PPP2R2D,1.8987,0.028805
HSD11B2,1.8976,0.028874
FAM46B,1.8974,0.028887
GPAT2,1.8969,0.028919
CCNJ,1.8963,0.028958
EYA2,1.8953,0.029026
CIAO1,1.8934,0.029156
FLT1,1.8927,0.029201
SLC7A6,1.8926,0.029206
ZNF518A,1.8926,0.029208
ADRA2B,1.8904,0.029351
NDUFS2,1.8896,0.029408
IAPP,1.8888,0.029458
ACD,1.8872,0.029566
AGL,1.8869,0.029589
DENND6A,1.8856,0.029674
CAPN8,1.8844,0.029753
STIM1,1.8829,0.029854
RLBP1,1.8819,0.029927
PSMB6,1.8814,0.029959
ZNF107,1.8811,0.029977
FBXW12,1.881,0.029984
AGPAT3,1.8808,0.029999
CYP2U1,1.8806,0.030015
CTNND2,1.878,0.030193
CNN2,1.8778,0.030207
TAF2,1.8761,0.030324
HTT,1.8757,0.030347
NUDT5,1.8719,0.030613
RANBP1,1.8711,0.030662
TMEM263,1.8709,0.030681
TRPA1,1.8675,0.030915
PRR23C,1.8661,0.031012
CHMP5,1.864,0.031162
ASTL,1.8633,0.031207
WDR76,1.8633,0.031212
DEFB133,1.863,0.031234
COX7C,1.8626,0.031256
ALK,1.8624,0.031273
TGM7,1.8621,0.031297
SERPINA9,1.8608,0.031385
PDZK1IP1,1.8606,0.031398
PALM,1.8606,0.031402
MINK1,1.8586,0.031539
SCRT2,1.8582,0.031569
TBXA2R,1.8574,0.031628
FOXF1,1.8571,0.031649
MAP3K13,1.8565,0.031693
ANGPTL4,1.8561,0.03172
NT5M,1.8551,0.031789
LOC101060179,1.8546,0.031827
SALL2,1.8539,0.031879
HBQ1,1.852,0.032011
AURKB,1.8499,0.032165
MFAP1,1.8499,0.032167
CNOT7,1.8492,0.032216
OR51A2,1.8471,0.032364
OR10J3,1.8464,0.032416
IFIT3,1.8463,0.032422
UNC45A,1.8462,0.032434
TSPAN18,1.8448,0.032536
EIF4ENIF1,1.8445,0.032553
PRR23B,1.8444,0.032563
MAN2A2,1.8432,0.032646
GPIHBP1,1.8421,0.032728
TBC1D3F,1.8421,0.032731
ADGRG6,1.8417,0.032757
SNX10,1.8388,0.032971
PASK,1.8387,0.032977
SERPINE3,1.8383,0.033009
GOLGA6D,1.8383,0.03301
STAT5A,1.8374,0.033076
ZNF697,1.8372,0.033087
SPINK7,1.8372,0.033093
CNDP1,1.8369,0.033112
DGKH,1.8364,0.033151
POLD3,1.8357,0.033204
LBR,1.8353,0.033233
GLTSCR1L,1.8348,0.033269
TLE3,1.8348,0.03327
GABRB3,1.8336,0.033358
ANKRD11,1.8332,0.033385
CWH43,1.8313,0.033526
RIC8B,1.8306,0.033582
HDDC3,1.8305,0.033585
P2RX1,1.8294,0.033667
ACBD6,1.8291,0.033689
LIMK2,1.8276,0.033804
CYP26B1,1.8274,0.033819
UBE2E3,1.8262,0.033906
SNRNP200,1.8257,0.033951
ELMOD1,1.8252,0.033986
IRF1,1.8248,0.034019
STARD10,1.8245,0.034035
KCNA5,1.8242,0.034063
USP31,1.8236,0.034106
TPM1,1.8223,0.034203
GLI4,1.8213,0.034281
ATP6V0E1,1.82,0.034376
TAPBPL,1.82,0.034381
CECR2,1.8193,0.034432
TMEM186,1.8191,0.034445
CKMT1B,1.8186,0.034485
SLCO3A1,1.8185,0.034497
ALPL,1.8179,0.034541
C2orf83,1.8175,0.034573
ERGIC3,1.8168,0.034625
ENKD1,1.8166,0.034637
RBP2,1.8163,0.034661
C9orf62,1.8129,0.034926
WDR45B,1.8128,0.034931
AGR3,1.8123,0.034969
WBP1L,1.8121,0.034987
ZNF605,1.8114,0.035038
KRTAP5-2,1.8108,0.035087
ACER2,1.8085,0.035265
SPRR2E,1.8084,0.035273
SFXN2,1.8071,0.035375
ABCG1,1.8067,0.035408
CPA2,1.8056,0.035492
TET1,1.8046,0.035568
NCOA7,1.8044,0.035584
CCDC71,1.8039,0.035621
C16orf86,1.8024,0.035739
ETNPPL,1.8012,0.035835
CRTAC1,1.8009,0.03586
S1PR5,1.8007,0.035878
BRSK2,1.8006,0.035884
ZFP41,1.7984,0.036059
MAX,1.7983,0.036066
TMEM81,1.7973,0.036147
PTPN1,1.7965,0.036206
ZNF480,1.7964,0.036213
ADAT3,1.7964,0.036219
SPINK9,1.7963,0.036224
SHISA5,1.7951,0.036318
PGR,1.7943,0.036385
PLB1,1.7929,0.036498
WWC2,1.7924,0.036532
PIP5K1B,1.7903,0.036699
ZNF24,1.7902,0.036708
SPRR2G,1.7889,0.036813
ATP5D,1.7857,0.037071
P2RY13,1.7851,0.037124
ADHFE1,1.7843,0.037184
GPN3,1.7837,0.037237
BFAR,1.7826,0.037328
LUC7L,1.7825,0.037336
SAMD12,1.7821,0.03737
TEX264,1.7808,0.037475
KRT73,1.7798,0.037557
POLR3B,1.7791,0.037609
DEPDC7,1.7787,0.037646
ALKBH4,1.7785,0.037659
PRMT6,1.7779,0.037708
ABHD17A,1.777,0.037783
FBXW11,1.7768,0.037797
MDK,1.7762,0.037853
LRWD1,1.7761,0.037861
RNASEH2A,1.7761,0.037862
C1orf106,1.7749,0.037956
OCIAD2,1.7745,0.03799
CCDC175,1.7739,0.038037
WWP2,1.7737,0.038059
CYP27C1,1.7736,0.038067
PPIP5K1,1.7728,0.038128
POU3F1,1.7726,0.038148
TDRD9,1.7725,0.038157
S100P,1.7725,0.038159
NUAK1,1.7724,0.038164
DCUN1D4,1.772,0.038199
CEP83,1.7713,0.038256
MYBL1,1.7709,0.038286
COPS3,1.7695,0.038401
ZW10,1.7686,0.038477
C9orf69,1.7679,0.038536
UBE3C,1.7679,0.038539
HEATR3,1.7674,0.038581
GDAP1L1,1.7665,0.038658
UCMA,1.7657,0.038723
PIM1,1.7648,0.038795
ENTPD6,1.7636,0.0389
NOX5,1.7634,0.038918
ZNF501,1.7629,0.038955
TLR5,1.7628,0.038967
GALNT5,1.7622,0.039018
MALSU1,1.762,0.039031
ORAI2,1.7617,0.039056
