symbol,ZSTAT,P
C5orf67,1.8303,0.033605
HCN3,1.8297,0.033648
LMTK2,1.829,0.033701
MAP2K3,1.8289,0.033704
PLXNC1,1.8288,0.033714
ARHGEF37,1.8284,0.033744
RNF43,1.8272,0.033834
LOC101928879,1.8271,0.033845
WSCD2,1.8252,0.033985
UQCRFS1,1.825,0.033998
ZNF576,1.8248,0.034014
ESRRB,1.8237,0.034097
C7orf62,1.8224,0.034193
ASTE1,1.8224,0.034198
TMC3,1.822,0.034225
SAFB,1.8219,0.034235
POLD3,1.8214,0.034273
ZNF664-FAM101A,1.8208,0.034322
TP53,1.8207,0.03433
C11orf74,1.8206,0.034334
DUSP16,1.819,0.034452
FAM209B,1.8187,0.034479
TMOD4,1.8182,0.034518
PPP1R2,1.8182,0.034518
DYNC1I2,1.8177,0.034554
SNED1,1.8172,0.034594
PHF7,1.8168,0.03462
INSIG1,1.8162,0.034671
PPIP5K2,1.8143,0.034815
LSP1,1.8131,0.034906
EPHX3,1.8129,0.034927
SPG21,1.8126,0.034944
SPX,1.812,0.034992
MED22,1.812,0.034994
NSUN4,1.8113,0.035048
FAAH,1.8105,0.035108
NPTX1,1.8105,0.035113
PIGL,1.8084,0.035275
SCFD2,1.8074,0.035348
IRF1,1.8067,0.035405
C2CD2L,1.8065,0.03542
VHL,1.8063,0.035439
CSNK1A1L,1.8061,0.035454
LPIN1,1.8058,0.035477
IRGQ,1.8058,0.035477
WDPCP,1.8055,0.035501
IDUA,1.8051,0.035528
SPSB3,1.8046,0.035565
ZDHHC17,1.803,0.035693
CLASP1,1.8026,0.035725
IFNA13,1.8026,0.035729
FAM117A,1.8025,0.035733
NAALAD2,1.8022,0.035761
PDLIM4,1.8005,0.035889
COLEC10,1.8,0.03593
TRAPPC12,1.7998,0.035949
RELB,1.797,0.03617
KNOP1,1.7965,0.036207
PHC3,1.7951,0.036318
AGBL3,1.7949,0.036333
AZU1,1.7929,0.036498
PKD2L1,1.7928,0.036506
AGPAT2,1.7927,0.036509
MTX3,1.7913,0.036626
ZBTB42,1.7909,0.036651
RAG2,1.7902,0.036713
PNLIPRP1,1.7897,0.036752
CCDC3,1.7892,0.03679
DDX46,1.7892,0.036793
OASL,1.7889,0.036819
CPB1,1.7888,0.036822
THEMIS2,1.7875,0.036929
FABP6,1.7873,0.036948
LOC101928675,1.7865,0.037011
ABCA5,1.7864,0.037021
PSTK,1.7861,0.037044
GS1-259H13.2,1.7856,0.037084
PPP6R1,1.7855,0.037087
C9orf91,1.7852,0.037116
RASL11A,1.7851,0.03712
FAM221B,1.7847,0.037153
ATP2B1,1.7846,0.03716
LRP2,1.7841,0.037204
PLK3,1.7838,0.037228
GIN1,1.7825,0.037331
CHMP4B,1.7821,0.037362
CUL9,1.7809,0.037466
SPACA4,1.7786,0.037651
ACAA1,1.7779,0.037708
TMEM186,1.7769,0.037794
MICAL2,1.7768,0.037797
CASKIN2,1.7766,0.037815
MGAT2,1.7761,0.037857
SCAMP3,1.7756,0.0379
MED24,1.7749,0.03796
RPL7A,1.772,0.038198
GIMAP8,1.769,0.038448
HARS,1.769,0.03845
NFYB,1.7673,0.038585
ACRV1,1.7673,0.038591
ISX,1.7648,0.038797
HAS3,1.7647,0.03881
SNX33,1.7646,0.038814
CSH2,1.7643,0.03884
NDUFA2,1.7643,0.038841
CYP8B1,1.7643,0.038841
SLC37A4,1.7629,0.038961
TTPA,1.7628,0.038965
ZFP28,1.7621,0.039022
DEFB124,1.761,0.039122
SLC26A4,1.7607,0.039145
UBQLN1,1.7596,0.039235
DOPEY2,1.7592,0.03927
STEAP2,1.7591,0.039281
APIP,1.7575,0.039414
SLC22A4,1.757,0.039455
SRRM5,1.7562,0.039525
OPRM1,1.7555,0.039587
RTP2,1.7551,0.039617
LOC101928722,1.7551,0.039617
ETV1,1.7548,0.039646
GH2,1.7547,0.039659
GDPD5,1.7543,0.03969
DYTN,1.7525,0.039847
WDR55,1.7522,0.039868
IL23R,1.7519,0.039893
COL13A1,1.7518,0.039901
TMEM180,1.7517,0.039911
THBS3,1.7515,0.039932
C5orf22,1.7511,0.039967
TEX29,1.7507,0.040003
C10orf95,1.7504,0.040022
RPRD2,1.75,0.040058
TFF2,1.7497,0.040086
STARD5,1.7494,0.040113
SYT13,1.7489,0.04015
IMP3,1.7487,0.040169
