symbol,ZSTAT,P
UBE2J1,1.8846,0.029744
C1orf101,1.8834,0.029825
KDELC1,1.8824,0.029888
ERCC5,1.882,0.02992
ACAD11,1.8816,0.029945
USP50,1.8811,0.029978
KRTAP17-1,1.8811,0.02998
KXD1,1.8803,0.030032
CERCAM,1.8802,0.030038
P2RY13,1.8797,0.030076
RAD54L2,1.8794,0.030098
MPPE1,1.8793,0.030104
PYGO2,1.8782,0.030178
PGLYRP2,1.8781,0.030182
BAZ1A,1.8752,0.030383
TTC8,1.8741,0.030458
ATP13A5,1.8739,0.030473
ACOT8,1.8726,0.030564
ATP5D,1.8718,0.030618
NFKBIL1,1.8716,0.030629
STX11,1.8712,0.030656
FKBP8,1.8704,0.030713
CPE,1.8702,0.03073
TDRD12,1.8673,0.030928
PLET1,1.8672,0.030938
BIVM,1.867,0.030949
ZFP30,1.8667,0.030971
TMEM220,1.8667,0.030972
C9orf64,1.8658,0.031037
MRPL43,1.8642,0.03115
UBA52,1.8612,0.031357
CTSA,1.8609,0.031381
TACR2,1.8604,0.031414
PTS,1.8588,0.031528
KYNU,1.8582,0.03157
HAO1,1.8576,0.031611
ZNF488,1.8572,0.031638
INF2,1.8567,0.03168
MANEA,1.8556,0.031753
ISL2,1.8532,0.031928
PBXIP1,1.853,0.031944
SETX,1.8529,0.03195
NLRP5,1.852,0.032012
ANO9,1.8497,0.032176
ABCB1,1.848,0.032304
SHROOM3,1.8474,0.032345
TAGLN2,1.8472,0.032359
ABI3,1.8464,0.032414
ETV2,1.8464,0.032419
DRD5,1.8427,0.032684
NEK11,1.8426,0.03269
TEX12,1.8421,0.032731
DMRTB1,1.8417,0.032756
TTC23L,1.8413,0.032786
RPS6KC1,1.841,0.032812
MIDN,1.8405,0.032846
ODF2,1.8403,0.032866
SLC39A3,1.8398,0.032897
TRHDE,1.8397,0.032907
MOG,1.8396,0.032914
B4GALNT2,1.8394,0.032928
AHSG,1.8388,0.03297
CCDC33,1.8386,0.03299
ZFP57,1.8379,0.033041
AARS,1.8377,0.033054
POT1,1.8375,0.03307
SLC37A2,1.8373,0.03308
CD8A,1.8365,0.03314
PSME3,1.8358,0.033192
HCRTR2,1.8343,0.033303
COL6A2,1.8336,0.033353
C15orf54,1.8324,0.033449
NUGGC,1.8323,0.033456
SCO1,1.8322,0.033464
ATF6B,1.8317,0.033498
CREBRF,1.8308,0.033564
SRSF2,1.8302,0.033611
LZTS2,1.8294,0.033668
HELT,1.8291,0.033695
C9orf43,1.8287,0.03372
DNAJC21,1.8265,0.033888
IGF2BP2,1.8258,0.033939
JRK,1.8248,0.034016
ETFA,1.8248,0.034018
ALAD,1.8243,0.034051
VTI1B,1.823,0.034155
SERPINA1,1.8215,0.034266
CEP57,1.8203,0.034355
MEP1B,1.8198,0.034392
GSG1,1.8176,0.034564
LYST,1.8175,0.034568
PLK2,1.8135,0.034879
SMIM4,1.8129,0.034927
CAMK1D,1.8125,0.034952
GDPD1,1.8116,0.035025
ANGEL2,1.8111,0.035066
ASNSD1,1.81,0.035152
AASS,1.8096,0.035176
DIABLO,1.8069,0.035392
EMC2,1.8068,0.0354
OTOS,1.8065,0.035424
EPHB6,1.8063,0.035432
LEMD3,1.8051,0.035532
ARHGAP18,1.8036,0.035644
C16orf93,1.8013,0.035831
